date,cumulative_cases,cumulative_deaths,active_cases
2020-05-23,83,4,32.0
2020-05-24,85,4,30.0
2020-05-25,86,4,31.0
2020-05-26,90,4,34.0
2020-05-27,90,4,32.0
2020-05-28,91,4,33.0
2020-05-29,94,4,36.0
2020-05-30,95,4,37.0
2020-05-31,95,4,37.0
2020-06-01,98,4,27.0
2020-06-02,99,4,24.0
2020-06-03,99,4,22.0
2020-06-04,99,4,18.0
2020-06-05,102,5,19.0
2020-06-06,107,5,24.0
2020-06-07,109,5,24.0
2020-06-08,110,5,24.0
2020-06-09,111,5,21.0
2020-06-10,114,5,24.0
2020-06-11,115,5,24.0
2020-06-12,115,5,21.0
2020-06-13,115,5,20.0
2020-06-14,118,5,23.0
2020-06-15,123,5,25.0
2020-06-16,124,5,25.0
2020-06-17,124,5,25.0
2020-06-18,124,5,25.0
2020-06-19,126,5,24.0
2020-06-20,126,5,19.0
2020-06-21,127,5,18.0
2020-06-22,128,5,18.0
2020-06-23,132,5,21.0
2020-06-24,134,5,20.0
2020-06-25,139,5,24.0
2020-06-26,146,5,31.0
2020-06-27,147,5,32.0
2020-06-28,149,5,31.0
2020-06-29,151,5,28.0
2020-06-30,151,5,27.0
2020-07-01,155,5,31.0
2020-07-02,166,5,42.0
2020-07-03,167,5,41.0
2020-07-04,172,5,46.0
2020-07-05,180,5,53.0
2020-07-06,182,5,54.0
2020-07-07,185,6,53.0
2020-07-08,185,6,51.0
2020-07-09,194,6,55.0
2020-07-10,200,6,54.0
2020-07-11,208,6,61.0
2020-07-12,213,6,64.0
2020-07-13,220,6,69.0
2020-07-14,229,6,78.0
2020-07-15,230,6,75.0
2020-07-16,230,6,64.0
2020-07-17,240,6,73.0
2020-07-18,248,6,76.0
2020-07-19,251,6,71.0
2020-07-20,252,6,70.0
2020-07-21,258,6,73.0
2020-07-22,260,7,75.0
2020-07-23,267,7,73.0
2020-07-24,267,7,67.0
2020-07-25,275,7,67.0
2020-07-26,280,7,67.0
2020-07-27,280,7,60.0
2020-07-28,288,7,59.0
2020-07-29,300,7,70.0
2020-07-30,303,7,73.0
2020-07-31,305,7,65.0
2020-08-01,314,7,66.0
2020-08-02,319,7,68.0
2020-08-03,319,7,67.0
2020-08-04,323,8,65.0
2020-08-05,325,8,65.0
2020-08-06,328,8,61.0
2020-08-07,330,8,63.0
2020-08-08,352,8,77.0
2020-08-09,355,8,75.0
2020-08-10,355,8,75.0
2020-08-11,357,8,69.0
2020-08-12,364,8,64.0
2020-08-13,371,8,68.0
2020-08-14,374,8,69.0
2020-08-15,388,8,74.0
2020-08-16,388,8,69.0
2020-08-17,391,8,72.0
2020-08-18,391,8,68.0
2020-08-19,396,8,71.0
2020-08-20,396,8,68.0
2020-08-21,397,8,67.0
2020-08-22,406,8,54.0
2020-08-23,409,8,54.0
2020-08-24,409,8,54.0
2020-08-25,412,8,55.0
2020-08-26,417,8,53.0
2020-08-27,419,8,48.0
2020-08-28,424,8,50.0
2020-08-29,425,8,37.0
2020-08-30,427,8,39.0
2020-08-31,427,8,36.0
2020-09-01,430,8,39.0
2020-09-02,434,8,38.0
2020-09-03,446,8,50.0
2020-09-04,446,8,49.0
2020-09-05,449,8,43.0
2020-09-06,451,8,42.0
2020-09-07,460,8,51.0
2020-09-08,465,8,53.0
2020-09-09,467,8,50.0
2020-09-10,475,8,56.0
2020-09-11,482,8,58.0
2020-09-12,485,8,60.0
2020-09-13,488,8,61.0
2020-09-14,490,8,63.0
2020-09-15,509,8,79.0
2020-09-16,513,8,79.0
2020-09-17,522,8,76.0
2020-09-18,523,8,77.0
2020-09-19,523,8,74.0
2020-09-20,525,8,74.0
2020-09-21,525,8,65.0
2020-09-22,529,8,64.0
2020-09-23,536,8,69.0
2020-09-24,536,8,61.0
2020-09-25,536,8,54.0
2020-09-26,539,8,54.0
2020-09-27,540,8,52.0
2020-09-28,543,8,53.0
2020-09-29,543,8,34.0
2020-09-30,556,8,43.0
2020-10-01,560,8,38.0
2020-10-02,564,8,41.0
2020-10-03,567,8,44.0
2020-10-04,568,8,43.0
2020-10-05,568,8,43.0
2020-10-06,572,8,43.0
2020-10-07,581,8,45.0
2020-10-08,585,8,49.0
2020-10-09,588,8,52.0
2020-10-10,596,8,57.0
2020-10-11,602,8,62.0
2020-10-12,608,8,65.0
2020-10-13,618,8,75.0
2020-10-14,626,8,70.0
2020-10-15,637,8,77.0
2020-10-16,645,8,81.0
2020-10-17,657,8,90.0
2020-10-18,659,8,91.0
2020-10-19,665,8,97.0
2020-10-20,678,8,106.0
2020-10-21,678,8,97.0
2020-10-22,699,8,114.0
2020-10-23,708,8,120.0
2020-10-24,720,8,124.0
2020-10-25,726,8,124.0
2020-10-26,733,8,125.0
2020-10-27,742,8,124.0
2020-10-28,768,8,142.0
2020-10-29,768,8,131.0
2020-10-30,788,8,143.0
2020-10-31,795,9,138.0
2020-11-01,795,9,136.0
2020-11-02,808,9,143.0
2020-11-03,835,9,157.0
2020-11-04,835,9,157.0
2020-11-05,847,9,148.0
2020-11-06,875,10,167.0
2020-11-07,978,10,258.0
2020-11-08,978,10,252.0
2020-11-09,985,10,252.0
2020-11-10,994,11,252.0
2020-11-11,1005,11,237.0
2020-11-12,1024,11,256.0
2020-11-13,1036,11,248.0
2020-11-14,1036,11,241.0
2020-11-15,1051,11,256.0
2020-11-16,1443,11,635.0
2020-11-17,1479,11,644.0
2020-11-18,1479,11,644.0
2020-11-19,1545,11,698.0
2020-11-20,1545,11,670.0
2020-11-21,1596,13,618.0
2020-11-22,1613,13,635.0
2020-11-23,1626,14,641.0
2020-11-24,2161,14,1167.0
2020-11-25,2241,14,1236.0
2020-11-26,2241,14,1217.0
2020-11-27,2241,14,1205.0
2020-11-28,2241,14,1205.0
2020-11-29,2408,14,1357.0
2020-11-30,2522,14,1079.0
2020-12-01,2584,21,1105.0
2020-12-02,2688,26,1209.0
2020-12-03,2745,26,1200.0
2020-12-04,2786,27,1241.0
2020-12-05,2786,27,1190.0
2020-12-06,2897,27,1284.0
2020-12-07,2993,28,1367.0
2020-12-08,3319,28,1158.0
2020-12-09,3328,28,1087.0
2020-12-10,3571,32,1330.0
2020-12-11,3660,32,1419.0
2020-12-12,3765,34,1524.0
2020-12-13,3882,34,1474.0
2020-12-14,3972,34,1450.0
2020-12-15,4028,39,1444.0
2020-12-16,4028,39,1340.0
2020-12-17,4385,40,1640.0
2020-12-18,4485,41,1699.0
2020-12-19,4485,41,1699.0
2020-12-20,4516,43,1619.0
2020-12-21,4560,44,1567.0
2020-12-22,4610,45,1291.0
2020-12-23,4673,46,1345.0
2020-12-24,4713,49,1142.0
2020-12-25,4713,49,1053.0
2020-12-26,4732,49,967.0
2020-12-27,4732,49,850.0
2020-12-28,4773,49,801.0
2020-12-29,4892,49,864.0
2020-12-30,4945,54,917.0
2020-12-31,5016,57,631.0
2021-01-01,5016,57,531.0
2021-01-02,5085,58,600.0
2021-01-03,5118,58,602.0
2021-01-04,5142,58,582.0
2021-01-05,5150,62,540.0
2021-01-06,5190,62,517.0
2021-01-07,5227,74,514.0
2021-01-08,5274,78,561.0
2021-01-09,5292,80,560.0
2021-01-10,5333,80,601.0
2021-01-11,5343,80,570.0
2021-01-12,5343,80,451.0
2021-01-13,5451,83,506.0
2021-01-14,5475,87,459.0
2021-01-15,5485,89,469.0
2021-01-16,5500,90,415.0
2021-01-17,5515,91,397.0
2021-01-18,5515,91,373.0
2021-01-19,5515,91,365.0
2021-01-20,5543,92,353.0
2021-01-21,5608,94,381.0
2021-01-22,5615,96,341.0
2021-01-23,5615,96,323.0
2021-01-24,5637,99,304.0
2021-01-25,5650,100,307.0
2021-01-26,5654,100,311.0
2021-01-27,5660,102,209.0
2021-01-28,5677,102,202.0
2021-01-29,5689,105,204.0
2021-01-30,5700,105,200.0
2021-01-31,5711,105,196.0
2021-02-01,5714,105,199.0
2021-02-02,5720,106,205.0
2021-02-03,5728,106,185.0
2021-02-04,5737,106,129.0
2021-02-05,5747,106,132.0
2021-02-06,5753,106,138.0
2021-02-07,5755,107,118.0
2021-02-08,5760,108,110.0
2021-02-09,5767,110,113.0
2021-02-10,5775,110,115.0
2021-02-11,5780,110,103.0
2021-02-12,5783,110,94.0
2021-02-13,5783,110,83.0
2021-02-14,5805,110,94.0
2021-02-15,5805,110,91.0
2021-02-16,5808,110,88.0
2021-02-17,5813,111,85.0
2021-02-18,5821,111,84.0
2021-02-19,5829,114,82.0
2021-02-20,5829,114,76.0
2021-02-21,5837,114,82.0
2021-02-22,5843,114,83.0
2021-02-23,5853,114,86.0
2021-02-24,5861,114,86.0
2021-02-25,5861,114,81.0
2021-02-26,5883,114,100.0
2021-02-27,5883,114,100.0
2021-02-28,5893,114,88.0
2021-03-01,5901,114,96.0
2021-03-02,5908,115,100.0
2021-03-03,5917,115,104.0
2021-03-04,5929,115,108.0
2021-03-05,5940,116,111.0
2021-03-06,5940,116,111.0
2021-03-07,5944,116,107.0
2021-03-08,5944,116,101.0
2021-03-09,5954,116,101.0
2021-03-10,5961,116,100.0
2021-03-11,5964,116,103.0
2021-03-12,5972,116,89.0
2021-03-13,5975,116,92.0
2021-03-14,5975,116,82.0
2021-03-15,5980,116,79.0
2021-03-16,5985,116,77.0
2021-03-17,5987,116,70.0
2021-03-18,5994,116,65.0
2021-03-19,6003,116,63.0
2021-03-20,6010,118,70.0
2021-03-21,6010,118,66.0
2021-03-22,6019,119,75.0
2021-03-23,6026,119,72.0
2021-03-24,6035,119,74.0
2021-03-25,6134,121,170.0
2021-03-26,6136,121,164.0
2021-03-27,6141,122,166.0
2021-03-28,6141,122,166.0
2021-03-29,6162,122,182.0
2021-03-30,6168,122,183.0
2021-03-31,6174,122,187.0
2021-04-01,6187,122,193.0
2021-04-02,6192,122,189.0
2021-04-03,6202,122,192.0
2021-04-04,6202,122,192.0
2021-04-05,6217,122,198.0
2021-04-06,6227,122,201.0
2021-04-07,6235,122,200.0
2021-04-08,6237,122,103.0
2021-04-09,6247,122,111.0
2021-04-10,6255,122,114.0
2021-04-11,6255,122,114.0
2021-04-12,6283,122,121.0
2021-04-13,6295,122,127.0
2021-04-14,6304,122,130.0
2021-04-15,6314,122,127.0
2021-04-16,6325,122,133.0
2021-04-17,6325,122,123.0
2021-04-18,6325,122,123.0
2021-04-19,6334,122,117.0
2021-04-20,6354,122,127.0
2021-04-21,6363,122,128.0
2021-04-22,6371,122,134.0
2021-04-23,6382,122,135.0
2021-04-24,6382,122,127.0
2021-04-25,6382,122,127.0
2021-04-26,6382,122,99.0
2021-04-27,6406,123,111.0
2021-04-28,6415,123,111.0
2021-04-29,6417,123,103.0
2021-04-30,6425,123,100.0
2021-05-01,6425,123,100.0
2021-05-02,6425,123,100.0
2021-05-03,6434,123,100.0
2021-05-04,6445,123,91.0
2021-05-05,6448,123,85.0
2021-05-06,6453,123,82.0
2021-05-07,6459,124,77.0
2021-05-08,6459,124,77.0
2021-05-09,6459,124,77.0
2021-05-10,6470,123,88.0
2021-05-11,6482,123,76.0
2021-05-12,6483,123,68.0
2021-05-13,6486,123,69.0
2021-05-14,6492,123,67.0
2021-05-15,6492,123,67.0
2021-05-16,6492,123,67.0
2021-05-17,6496,123,62.0
2021-05-18,6502,123,57.0
2021-05-19,6503,123,55.0
2021-05-20,6508,123,55.0
2021-05-21,6511,123,52.0
2021-05-22,6511,123,52.0
2021-05-23,6511,123,52.0
2021-05-24,6517,123,47.0
2021-05-25,6523,123,41.0
2021-05-26,6524,123,41.0
2021-05-27,6527,123,41.0
2021-05-28,6539,123,47.0
2021-05-29,6539,123,47.0
2021-05-30,6539,123,47.0
2021-05-31,6539,123,43.0
2021-06-01,6542,123,40.0
2021-06-02,6549,123,46.0
2021-06-03,6551,123,43.0
2021-06-04,6557,123,46.0
2021-06-05,6557,123,46.0
2021-06-06,6557,123,46.0
2021-06-07,6560,124,43.0
2021-06-08,6567,124,44.0
2021-06-09,6570,124,46.0
2021-06-10,6573,124,46.0
2021-06-11,6581,124,42.0
2021-06-12,6581,124,42.0
2021-06-13,6581,124,42.0
2021-06-14,6583,124,44.0
2021-06-15,6586,124,44.0
2021-06-16,6587,124,38.0
2021-06-17,6589,124,38.0
2021-06-18,6589,124,32.0
2021-06-19,6589,124,32.0
2021-06-20,6589,124,32.0
2021-06-21,6595,124,35.0
2021-06-22,6605,124,38.0
2021-06-23,6606,124,36.0
2021-06-24,6609,124,36.0
2021-06-25,6614,124,33.0
2021-06-26,6614,124,33.0
2021-06-27,6614,124,33.0
2021-06-28,6617,124,34.0
2021-06-29,6624,124,38.0
2021-06-30,6626,124,39.0
2021-07-01,6626,124,37.0
2021-07-02,6627,124,38.0
2021-07-03,6627,124,38.0
2021-07-04,6627,124,38.0
2021-07-05,6627,124,32.0
2021-07-06,6629,124,24.0
2021-07-07,6639,124,33.0
2021-07-08,6640,124,31.0
2021-07-09,6642,124,28.0
2021-07-10,6642,124,28.0
2021-07-11,6642,124,28.0
2021-07-12,6643,124,26.0
2021-07-13,6648,124,24.0
2021-07-14,6649,124,23.0
2021-07-15,6652,124,26.0
2021-07-16,6657,124,30.0
2021-07-17,6657,124,30.0
2021-07-18,6657,124,30.0
2021-07-19,6661,124,34.0
2021-07-20,6680,124,51.0
2021-07-21,6683,125,44.0
2021-07-22,6689,125,49.0
2021-07-23,6698,125,56.0
2021-07-24,6698,125,56.0
2021-07-25,6698,125,56.0
2021-07-26,6709,125,66.0
2021-07-27,6716,125,68.0
2021-07-28,6729,125,80.0
2021-07-29,6740,125,88.0
2021-07-30,6749,125,92.0
2021-07-31,6749,125,92.0
2021-08-01,6749,125,92.0
2021-08-02,6761,125,100.0
2021-08-03,6794,125,114.0
2021-08-04,6800,125,117.0
2021-08-05,6818,126,129.0
2021-08-06,6838,126,140.0
2021-08-07,6838,126,140.0
2021-08-08,6838,126,140.0
2021-08-09,6864,126,155.0
2021-08-10,6920,126,204.0
2021-08-11,6934,126,205.0
2021-08-12,6954,126,214.0
2021-08-13,6988,126,239.0
2021-08-14,6988,126,239.0
2021-08-15,6988,126,239.0
2021-08-16,7006,126,245.0
2021-08-17,7060,126,266.0
2021-08-18,7077,130,277.0
2021-08-19,7115,130,297.0
2021-08-20,7138,130,300.0
2021-08-21,7138,130,300.0
2021-08-22,7138,130,300.0
2021-08-23,7173,130,309.0
2021-08-24,7234,129,314.0
2021-08-25,7273,130,339.0
2021-08-26,7301,130,347.0
2021-08-27,7337,130,349.0
2021-08-28,7337,130,349.0
2021-08-29,7337,130,349.0
2021-08-30,7383,131,377.0
2021-08-31,7484,132,424.0
2021-09-01,7504,134,427.0
2021-09-02,7535,134,420.0
2021-09-03,7598,135,460.0
2021-09-04,7598,135,460.0
2021-09-05,7598,135,460.0
2021-09-06,7598,135,425.0
2021-09-07,7640,135,406.0
2021-09-08,7754,135,481.0
2021-09-09,7788,135,487.0
2021-09-10,7834,135,497.0
2021-09-11,7834,135,497.0
2021-09-12,7834,135,497.0
2021-09-13,7870,136,487.0
2021-09-14,7963,136,479.0
2021-09-15,7964,137,460.0
2021-09-16,7999,137,464.0
2021-09-17,8042,137,444.0
2021-09-18,8042,137,444.0
2021-09-19,8042,137,444.0
2021-09-20,8085,137,487.0
2021-09-21,8144,140,504.0
2021-09-22,8162,141,408.0
2021-09-23,8188,142,400.0
2021-09-24,8214,142,380.0
2021-09-25,8214,142,380.0
2021-09-26,8214,142,380.0
2021-09-27,8240,143,370.0
2021-09-28,8287,144,324.0
2021-09-29,8298,144,334.0
2021-09-30,8315,146,316.0
2021-10-01,8328,146,286.0
2021-10-02,8328,146,286.0
2021-10-03,8328,146,286.0
2021-10-04,8366,146,281.0
2021-10-05,8397,147,253.0
2021-10-06,8483,147,321.0
2021-10-07,8488,149,300.0
2021-10-08,8499,148,285.0
2021-10-09,8499,148,285.0
2021-10-10,8499,148,285.0
2021-10-11,8536,148,296.0
2021-10-12,8610,148,323.0
2021-10-13,8634,148,336.0
2021-10-14,8642,148,327.0
2021-10-15,8656,149,328.0
2021-10-16,8656,149,328.0
2021-10-17,8656,149,328.0
2021-10-18,8664,149,298.0
2021-10-19,8727,149,330.0
2021-10-20,8734,149,251.0
2021-10-21,8748,150,260.0
2021-10-22,8762,150,263.0
2021-10-23,8762,150,263.0
2021-10-24,8762,150,263.0
2021-10-25,8778,150,242.0
2021-10-26,8825,150,215.0
2021-10-27,8835,153,201.0
2021-10-28,8847,154,205.0
2021-10-29,8847,154,191.0
2021-10-30,8847,154,191.0
2021-10-31,8847,154,191.0
2021-11-01,8863,156,199.0
2021-11-02,8914,156,187.0
2021-11-03,8972,156,238.0
2021-11-04,9054,157,306.0
2021-11-05,9071,157,309.0
2021-11-06,9071,157,309.0
2021-11-07,9071,157,309.0
2021-11-08,9094,163,316.0
2021-11-09,9127,161,302.0
2021-11-10,9143,161,308.0
2021-11-11,9143,161,296.0
2021-11-12,9169,161,322.0
2021-11-13,9169,161,322.0
2021-11-14,9169,161,322.0
2021-11-15,9208,163,345.0
2021-11-16,9259,164,345.0
2021-11-17,9275,164,303.0
2021-11-18,9285,164,231.0
2021-11-19,9303,164,232.0
2021-11-20,9303,164,232.0
2021-11-21,9303,164,232.0
2021-11-22,9322,166,228.0
2021-11-23,9350,167,223.0
2021-11-24,9356,168,213.0
2021-11-25,9356,168,213.0
2021-11-26,9356,168,187.0
2021-11-27,9356,168,187.0
2021-11-28,9356,168,187.0
2021-11-29,9384,169,176.0
2021-11-30,9424,171,165.0
2021-12-01,9437,172,162.0
2021-12-02,9454,173,169.0
2021-12-03,9467,173,164.0
2021-12-04,9467,173,164.0
2021-12-05,9467,173,164.0
2021-12-06,9479,173,157.0
2021-12-07,9506,175,156.0
2021-12-08,9509,175,153.0
2021-12-09,9523,175,167.0
2021-12-10,9523,175,167.0
2021-12-11,9523,175,167.0
2021-12-12,9523,175,167.0
2021-12-13,9546,175,162.0
2021-12-14,9577,175,153.0
2021-12-15,9589,176,152.0
2021-12-16,9608,177,154.0
2021-12-17,9617,177,150.0
2021-12-18,9617,177,150.0
2021-12-19,9617,177,150.0
2021-12-20,9621,178,142.0
2021-12-21,9658,178,152.0
2021-12-22,9674,178,165.0
2021-12-23,9681,178,158.0
2021-12-24,9681,178,158.0
2021-12-25,9681,178,158.0
2021-12-26,9681,178,158.0
2021-12-27,9689,179,143.0
2021-12-28,9730,179,153.0
2021-12-29,9742,179,153.0
2021-12-30,9760,180,152.0
2021-12-31,9760,180,143.0
